,D009_GlobPlot,D009_GlobPlot,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine,D033_DynaMine,D033_DynaMine
,tn,fp,fn,tp,tn,fp,fn,tp,tn,fp,fn,tp
0.565,,,,,221324.0,60667.0,22272.0,32332.0,280938.0,981.0,54415.0,145.0
0.564,,,,,221122.0,60869.0,22188.0,32416.0,280922.0,997.0,54412.0,148.0
0.563,,,,,220923.0,61068.0,22116.0,32488.0,280902.0,1017.0,54410.0,150.0
0.562,,,,,220700.0,61291.0,22040.0,32564.0,280878.0,1041.0,54407.0,153.0
0.561,,,,,220474.0,61517.0,21973.0,32631.0,280862.0,1057.0,54400.0,160.0
0.56,,,,,220265.0,61726.0,21896.0,32708.0,280840.0,1079.0,54396.0,164.0
0.559,,,,,220083.0,61908.0,21840.0,32764.0,280815.0,1104.0,54391.0,169.0
0.558,,,,,219882.0,62109.0,21775.0,32829.0,280788.0,1131.0,54387.0,173.0
0.557,,,,,219672.0,62319.0,21710.0,32894.0,280766.0,1153.0,54383.0,177.0
0.556,,,,,219486.0,62505.0,21648.0,32956.0,280747.0,1172.0,54371.0,189.0
0.555,,,,,219293.0,62698.0,21582.0,33022.0,280724.0,1195.0,54365.0,195.0
0.554,,,,,219106.0,62885.0,21507.0,33097.0,280705.0,1214.0,54359.0,201.0
0.553,,,,,218912.0,63079.0,21434.0,33170.0,280676.0,1243.0,54349.0,211.0
0.552,,,,,218711.0,63280.0,21360.0,33244.0,280649.0,1270.0,54343.0,217.0
0.551,,,,,218514.0,63477.0,21287.0,33317.0,280625.0,1294.0,54337.0,223.0
0.55,,,,,218326.0,63665.0,21209.0,33395.0,280598.0,1321.0,54327.0,233.0
0.549,,,,,218154.0,63837.0,21146.0,33458.0,280570.0,1349.0,54324.0,236.0
0.548,,,,,217957.0,64034.0,21064.0,33540.0,280548.0,1371.0,54317.0,243.0
