predictor,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine
auc,0.624,0.624,0.78,0.78,0.707,0.707
metric,fpr,tpr,fpr,tpr,fpr,tpr
0.609,,,0.183,0.529,0.001,0.001
0.608,,,0.184,0.531,0.001,0.001
0.607,,,0.184,0.532,0.001,0.001
0.606,,,0.185,0.534,0.001,0.001
0.605,,,0.186,0.536,0.001,0.001
0.604,,,0.187,0.538,0.001,0.001
0.603,,,0.188,0.539,0.001,0.001
0.602,,,0.188,0.541,0.001,0.001
0.601,,,0.189,0.543,0.001,0.001
0.6,,,0.19,0.544,0.001,0.001
0.599,,,0.191,0.546,0.002,0.001
0.598,,,0.191,0.548,0.002,0.001
0.597,,,0.192,0.549,0.002,0.001
0.596,,,0.193,0.551,0.002,0.001
0.595,,,0.194,0.552,0.002,0.001
0.594,,,0.194,0.554,0.002,0.001
0.593,,,0.195,0.556,0.002,0.001
0.592,,,0.196,0.557,0.002,0.001
0.591,,,0.196,0.558,0.002,0.001
0.59,,,0.197,0.56,0.002,0.001
0.589,,,0.198,0.561,0.002,0.001
0.588,,,0.199,0.563,0.002,0.001
0.587,,,0.199,0.564,0.002,0.001
0.586,,,0.2,0.565,0.002,0.001
0.585,,,0.201,0.566,0.002,0.001
0.584,,,0.202,0.568,0.002,0.001
0.583,,,0.202,0.569,0.002,0.001
0.582,,,0.203,0.571,0.002,0.001
0.581,,,0.204,0.572,0.002,0.002
0.58,,,0.205,0.573,0.002,0.002
0.579,,,0.205,0.575,0.003,0.002
0.578,,,0.206,0.576,0.003,0.002
0.577,,,0.207,0.577,0.003,0.002
0.576,,,0.207,0.578,0.003,0.002
0.575,,,0.208,0.58,0.003,0.002
0.574,,,0.209,0.581,0.003,0.002
0.573,,,0.209,0.582,0.003,0.002
0.572,,,0.21,0.583,0.003,0.002
0.571,,,0.211,0.584,0.003,0.002
0.57,,,0.212,0.586,0.003,0.002
0.569,,,0.212,0.587,0.003,0.002
0.568,,,0.213,0.589,0.003,0.002
0.567,,,0.214,0.59,0.003,0.002
0.566,,,0.214,0.591,0.003,0.003
0.565,,,0.215,0.592,0.003,0.003
0.564,,,0.216,0.594,0.004,0.003
0.563,,,0.217,0.595,0.004,0.003
0.562,,,0.217,0.596,0.004,0.003
0.561,,,0.218,0.598,0.004,0.003
0.56,,,0.219,0.599,0.004,0.003
0.559,,,0.22,0.6,0.004,0.003
0.558,,,0.22,0.601,0.004,0.003
0.557,,,0.221,0.602,0.004,0.003
0.556,,,0.222,0.604,0.004,0.003
0.555,,,0.222,0.605,0.004,0.004
0.554,,,0.223,0.606,0.004,0.004
0.553,,,0.224,0.607,0.004,0.004
0.552,,,0.224,0.609,0.005,0.004
0.551,,,0.225,0.61,0.005,0.004
0.55,,,0.226,0.612,0.005,0.004
0.549,,,0.226,0.613,0.005,0.004
0.548,,,0.227,0.614,0.005,0.004
0.547,,,0.228,0.615,0.005,0.005
0.546,,,0.228,0.616,0.005,0.005
0.545,,,0.229,0.618,0.005,0.005
0.544,,,0.23,0.619,0.005,0.005
0.543,,,0.231,0.62,0.005,0.005
0.542,,,0.231,0.621,0.005,0.005
0.541,,,0.232,0.623,0.006,0.005
0.54,,,0.233,0.624,0.006,0.006
0.539,,,0.233,0.626,0.006,0.006
0.538,,,0.234,0.627,0.006,0.006
0.537,,,0.235,0.628,0.006,0.006
0.536,,,0.235,0.63,0.006,0.006
0.535,,,0.236,0.631,0.006,0.007
0.534,,,0.237,0.633,0.006,0.007
0.533,,,0.238,0.634,0.007,0.007
0.532,,,0.238,0.636,0.007,0.007
0.531,,,0.239,0.637,0.007,0.007
0.53,,,0.24,0.638,0.007,0.008
0.529,,,0.241,0.64,0.007,0.008
0.528,,,0.241,0.641,0.007,0.008
0.527,,,0.242,0.643,0.008,0.009
0.526,,,0.243,0.644,0.008,0.009
0.525,,,0.244,0.646,0.008,0.009
0.524,,,0.244,0.647,0.008,0.009
0.523,,,0.245,0.649,0.008,0.01
0.522,,,0.246,0.65,0.008,0.01
0.521,,,0.247,0.652,0.008,0.01
0.52,,,0.248,0.654,0.009,0.01
0.519,,,0.249,0.655,0.009,0.011
0.518,,,0.249,0.657,0.009,0.011
0.517,,,0.25,0.659,0.009,0.011
0.516,,,0.251,0.66,0.009,0.011
0.515,,,0.252,0.661,0.01,0.012
0.514,,,0.253,0.662,0.01,0.012
0.513,,,0.254,0.664,0.01,0.012
0.512,,,0.255,0.665,0.01,0.013
0.511,,,0.256,0.666,0.01,0.013
0.51,,,0.257,0.668,0.01,0.013
0.509,,,0.258,0.669,0.011,0.014
0.508,,,0.259,0.671,0.011,0.014
0.507,,,0.26,0.672,0.011,0.014
0.506,,,0.261,0.674,0.011,0.015
0.505,,,0.262,0.675,0.011,0.015
0.504,,,0.263,0.677,0.012,0.016
0.503,,,0.264,0.678,0.012,0.016
0.502,,,0.265,0.68,0.012,0.017
0.501,,,0.266,0.681,0.012,0.017
0.5,,,0.267,0.683,0.013,0.017
0.499,,,0.268,0.684,0.013,0.018
0.498,,,0.269,0.686,0.013,0.019
0.497,,,0.27,0.687,0.013,0.019
0.496,,,0.271,0.689,0.014,0.02
0.495,,,0.272,0.69,0.014,0.02
0.494,,,0.273,0.692,0.014,0.021
0.493,,,0.274,0.693,0.014,0.021
0.492,,,0.276,0.695,0.015,0.022
0.491,,,0.277,0.696,0.015,0.023
0.49,,,0.278,0.698,0.015,0.023
0.489,,,0.279,0.7,0.016,0.023
0.488,,,0.28,0.702,0.016,0.024
0.487,,,0.281,0.703,0.016,0.025
0.486,,,0.282,0.704,0.017,0.025
0.485,,,0.283,0.706,0.017,0.026
0.484,,,0.284,0.708,0.017,0.026
0.483,,,0.286,0.709,0.017,0.027
0.482,,,0.287,0.711,0.018,0.027
0.481,,,0.288,0.713,0.018,0.028
0.48,,,0.289,0.714,0.018,0.029
0.479,,,0.29,0.715,0.019,0.029
0.478,,,0.291,0.717,0.019,0.03
0.477,,,0.292,0.718,0.019,0.031
0.476,,,0.293,0.72,0.02,0.031
0.475,,,0.295,0.721,0.02,0.032
0.474,,,0.296,0.723,0.02,0.033
0.473,,,0.297,0.725,0.021,0.033
0.472,,,0.298,0.727,0.021,0.034
0.471,,,0.3,0.728,0.021,0.035
0.47,,,0.301,0.73,0.022,0.036
0.469,,,0.302,0.731,0.022,0.037
0.468,0.0,0.0,0.304,0.733,0.023,0.037
0.467,,,0.305,0.734,0.023,0.038
0.466,,,0.307,0.736,0.023,0.039
0.465,,,0.308,0.738,0.024,0.04
0.464,,,0.31,0.739,0.024,0.041
0.463,0.0,0.0,0.311,0.741,0.025,0.042
0.462,0.0,0.0,0.313,0.743,0.025,0.043
