predictor,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine
0.41,,,0.811,0.285,0.115,0.295
0.409,0.0,0.0,0.812,0.285,0.117,0.296
0.408,,,0.813,0.284,0.12,0.298
0.407,,,0.814,0.284,0.121,0.298
0.406,0.0,0.0,0.815,0.283,0.124,0.298
0.405,0.0,0.0,0.816,0.283,0.126,0.3
0.404,0.0,0.0,0.816,0.282,0.128,0.3
0.403,,,0.817,0.282,0.13,0.301
0.402,0.0,0.0,0.818,0.281,0.132,0.302
0.401,,,0.819,0.281,0.134,0.302
0.4,,,0.82,0.281,0.136,0.302
0.399,0.0,0.0,0.821,0.28,0.138,0.303
0.398,,,0.822,0.28,0.141,0.304
0.397,,,0.823,0.279,0.143,0.304
0.396,0.0,0.0,0.824,0.279,0.145,0.304
0.395,,,0.825,0.278,0.147,0.305
0.394,0.0,0.0,0.826,0.278,0.149,0.305
0.393,,,0.827,0.278,0.152,0.305
0.392,0.0,0.0,0.828,0.277,0.154,0.306
0.391,0.0,0.0,0.829,0.277,0.157,0.307
0.39,,,0.83,0.277,0.159,0.307
0.389,0.0,0.0,0.83,0.276,0.162,0.308
0.388,0.0,0.0,0.832,0.276,0.164,0.308
0.387,0.0,0.0,0.832,0.275,0.167,0.309
0.386,0.0,0.0,0.833,0.275,0.169,0.308
0.385,0.0,0.0,0.834,0.274,0.171,0.309
0.384,0.0,0.0,0.836,0.274,0.173,0.309
0.383,0.0,0.0,0.836,0.274,0.176,0.31
0.382,0.0,0.0,0.837,0.273,0.179,0.311
0.381,0.0,0.0,0.838,0.273,0.182,0.311
0.38,0.0,0.0,0.839,0.273,0.184,0.311
0.379,0.0,0.0,0.84,0.272,0.187,0.311
0.378,0.0,0.0,0.841,0.272,0.19,0.312
0.377,0.0,0.0,0.842,0.272,0.192,0.312
0.376,0.0,0.0,0.843,0.272,0.195,0.313
0.375,0.0,0.0,0.844,0.271,0.198,0.313
0.374,0.0,0.0,0.845,0.271,0.201,0.314
0.373,0.0,0.0,0.846,0.27,0.204,0.314
0.372,0.0,0.0,0.847,0.27,0.206,0.314
0.371,0.0,0.0,0.847,0.27,0.209,0.314
0.37,0.0,0.0,0.848,0.269,0.211,0.314
0.369,0.0,0.0,0.849,0.269,0.214,0.314
0.368,0.0,0.0,0.85,0.269,0.217,0.315
0.367,0.0,0.009,0.85,0.268,0.22,0.315
0.366,0.0,0.016,0.851,0.268,0.223,0.315
0.365,0.0,0.016,0.852,0.268,0.226,0.315
0.364,0.0,0.016,0.853,0.267,0.228,0.315
0.363,0.0,0.015,0.854,0.267,0.231,0.314
0.362,0.0,0.014,0.855,0.267,0.234,0.314
0.361,0.0,0.014,0.855,0.266,0.237,0.314
0.36,0.0,0.028,0.856,0.266,0.239,0.314
0.359,0.0,0.034,0.857,0.266,0.242,0.314
0.358,0.0,0.04,0.858,0.266,0.245,0.314
0.357,0.0,0.052,0.859,0.265,0.248,0.314
0.356,0.0,0.056,0.859,0.265,0.251,0.314
0.355,0.0,0.066,0.86,0.265,0.254,0.314
0.354,0.0,0.064,0.861,0.265,0.257,0.314
0.353,0.0,0.068,0.862,0.264,0.26,0.314
0.352,0.0,0.078,0.863,0.264,0.264,0.314
0.351,0.0,0.077,0.864,0.264,0.267,0.314
0.35,0.0,0.075,0.865,0.264,0.27,0.314
0.349,0.0,0.079,0.866,0.263,0.273,0.314
0.348,0.0,0.082,0.867,0.263,0.277,0.314
0.347,0.0,0.086,0.868,0.263,0.28,0.314
0.346,0.0,0.084,0.869,0.263,0.283,0.314
0.345,0.0,0.083,0.869,0.262,0.287,0.314
0.344,0.0,0.079,0.87,0.262,0.29,0.314
